Course code,Academic Year,Year,Season,Antal bestået,Antal tilmeldte,Eksamensgennemsnit,Fremmødte,Engelsk titel,Undervisningssprog,Point( ECTS ),Kursustype,Evalueringsform,Hjælpemidler,Bedømmelsesform,Institut,Mulighed for GRØN DYST deltagelse,Ekstern samarbejdsinstitution,forudsætninger,WMA
01005,2021-2022,2022,Summer,772,1092,8.5,1014,Advanced Engineering Mathematics 1,Dansk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.317780651081302
01005,2022-2023,2023,Summer,732,1055,8.2,906,Advanced Engineering Mathematics 1,Dansk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.314647380774387
01005,2023-2024,2024,Summer,42,86,6.0,70,Advanced Engineering Mathematics 1,Dansk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.3125458489656365
01006,2017-2018,2018,Summer,90,118,9.3,115,Advanced Engineering Mathematics 1,Engelsk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.312786608598116
01006,2018-2019,2019,Summer,101,123,7.1,116,Advanced Engineering Mathematics 1,Engelsk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.31218758437023
01006,2019-2020,2020,Summer,103,147,8.1,132,Advanced Engineering Mathematics 1,Engelsk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.312252121860461
01006,2020-2021,2021,Summer,95,151,8.3,136,Advanced Engineering Mathematics 1,Engelsk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.311979383876921
01006,2021-2022,2022,Summer,93,156,8.5,146,Advanced Engineering Mathematics 1,Engelsk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.3116268147219
01006,2022-2023,2023,Summer,135,182,8.2,181,Advanced Engineering Mathematics 1,Engelsk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.311171395348215
01006,2023-2024,2024,Summer,2,7,3.0,7,Advanced Engineering Mathematics 1,Engelsk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.310748912792274
01015,2017-2018,2018,Summer,55,78,8.8,76,Advanced Engineering Mathematics 1,Dansk,"17,5",Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.310828157621743
01015,2018-2019,2019,Summer,55,82,5.6,77,Advanced Engineering Mathematics 1,Dansk,"17,5",Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.3105308779146165
01015,2019-2020,2020,Summer,71,96,9.1,86,Advanced Engineering Mathematics 1,Dansk,"17,5",Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.310876909981283
01015,2020-2021,2021,Summer,68,98,8.4,91,Advanced Engineering Mathematics 1,Dansk,"17,5",Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.310472584129108
01015,2021-2022,2022,Summer,52,79,8.5,74,Advanced Engineering Mathematics 1,Dansk,"17,5",Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.310211983020319
01015,2022-2023,2023,Summer,49,69,8.4,68,Advanced Engineering Mathematics 1,Dansk,"17,5",Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.309980519531721
01015,2023-2024,2024,Summer,4,6,4.0,6,Advanced Engineering Mathematics 1,Dansk,"17,5",Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.3097856239465795
01016,2017-2018,2018,Summer,5,8,5.4,6,Advanced Engineering Mathematics 1,Dansk,"17,5",Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.309837841533275
01017,2017-2018,2017,Winter,217,256,6.1,245,Discrete Mathematics,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.309867973000322
01017,2017-2018,2018,Summer,9,13,7.1,11,Discrete Mathematics,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.310647904519322
01017,2018-2019,2018,Winter,275,319,6.1,305,Discrete Mathematics,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.3106540014998105
01017,2018-2019,2019,Summer,9,14,3.4,13,Discrete Mathematics,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.3116263759414215
01017,2019-2020,2019,Winter,257,309,5.9,295,Discrete Mathematics,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.311760290945851
01017,2019-2020,2020,Summer,12,18,2.9,17,Discrete Mathematics,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.312857903392427
01017,2020-2021,2020,Winter,456,504,6.6,493,Discrete Mathematics,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.313055625107061
01017,2021-2022,2021,Winter,325,356,6.9,345,Discrete Mathematics,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.313983352774438
01017,2021-2022,2022,Summer,7,7,6.3,7,Discrete Mathematics,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.314360618843711
01017,2022-2023,2022,Winter,290,319,6.8,304,Discrete Mathematics,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.314379375016498
01017,2023-2024,2023,Winter,157,213,4.6,212,Discrete Mathematics,Dansk,5,"Bachelor, Diplomingeniør",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.314792764879728
01017,2023-2024,2024,Summer,17,19,3.8,19,Discrete Mathematics,Dansk,5,"Bachelor, Diplomingeniør",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.316315129584649
01018,2017-2018,2017,Winter,51,58,7.5,55,Discrete mathematics 2: algebra,Engelsk,5,Kandidat,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.316491859219371
01018,2018-2019,2018,Winter,39,42,8.5,41,Discrete mathematics 2: algebra,Engelsk,5,Kandidat,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.316465156886594
01018,2019-2020,2019,Winter,56,65,8.1,59,Discrete mathematics 2: algebra,Engelsk,5,"Kandidat, Bachelor",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.316336763340102
01018,2019-2020,2020,Summer,4,5,5.8,4,Discrete mathematics 2: algebra,Engelsk,5,"Kandidat, Bachelor",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.316214406689941
01018,2020-2021,2020,Winter,57,63,8.5,58,Discrete mathematics 2: algebra,Engelsk,5,"Kandidat, Bachelor",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.316230456551871
01018,2021-2022,2021,Winter,55,61,7.7,58,Discrete mathematics 2: algebra,Engelsk,5,"Kandidat, Bachelor",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.316048732458471
01018,2022-2023,2022,Winter,43,48,8.7,45,Discrete mathematics 2: algebra,Engelsk,5,"Kandidat, Bachelor",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.315989781872074
01018,2023-2024,2023,Winter,50,53,8.9,51,Discrete mathematics 2: algebra,Engelsk,5,"Bachelor, Diplomingeniør",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.315824894430972
01019,2017-2018,2017,Winter,19,27,5.1,24,Discrete Mathematics,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.31561096636162
01019,2018-2019,2018,Winter,56,61,8.3,58,Discrete Mathematics,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.315751774176451
01019,2019-2020,2019,Winter,63,79,6.4,74,Discrete Mathematics,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.315600584773625
01019,2019-2020,2020,Summer,3,5,3.6,5,Discrete Mathematics,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.31578006293905
01019,2020-2021,2020,Winter,58,64,6.3,62,Discrete Mathematics,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.315829278177908
01019,2021-2022,2021,Winter,59,66,6.3,64,Discrete Mathematics,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.315996142443441
01019,2022-2023,2022,Winter,66,74,8.0,68,Discrete Mathematics,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.316168446937663
01019,2023-2024,2023,Winter,49,60,5.3,60,Discrete Mathematics,Engelsk,5,"Bachelor, Diplomingeniør",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.316045204328534
01019,2023-2024,2024,Summer,3,6,3.8,4,Discrete Mathematics,Engelsk,5,"Bachelor, Diplomingeniør",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.316365848550943
01025,2017-2018,2017,Winter,52,57,8.2,54,Advanced Mathematics 2 for Mathematics and Technology,Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.316403133242308
01025,2018-2019,2018,Winter,54,59,7.5,56,Advanced Mathematics 2 for Mathematics and Technology,Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.316276634384157
01025,2019-2020,2019,Winter,72,80,8.3,78,Advanced Mathematics 2 for Mathematics and Technology,Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.316249353679702
01025,2020-2021,2020,Winter,56,60,8.6,56,Advanced Mathematics 2 for Mathematics and Technology,Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.316045849831709
01025,2021-2022,2021,Winter,62,69,7.5,66,Advanced Mathematics 2 for Mathematics and Technology,Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.31585513035773
01025,2022-2023,2022,Winter,50,58,7.7,55,Advanced Mathematics 2 for Mathematics and Technology,Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.315822887235186
01025,2023-2024,2023,Winter,48,58,7.1,57,Advanced Mathematics 2 for Mathematics and Technology,Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.315766822330701
01025,2023-2024,2024,Summer,3,5,4.2,5,Advanced Mathematics 2 for Mathematics and Technology,Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.315799460224016
01034,2017-2018,2017,Winter,60,80,7.0,72,Advanced Engineering Mathematics 2,Engelsk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.315840803783244
01034,2017-2018,2018,Summer,2,5,2.0,4,Advanced Engineering Mathematics 2,Engelsk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.315901164179565
01034,2018-2019,2018,Winter,100,125,6.5,118,Advanced Engineering Mathematics 2,Engelsk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.315957604939174
01034,2018-2019,2019,Summer,3,7,2.0,6,Advanced Engineering Mathematics 2,Engelsk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.3162132524746015
01034,2019-2020,2019,Winter,114,147,6.3,137,Advanced Engineering Mathematics 2,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.316297946460324
01034,2019-2020,2020,Summer,9,11,4.2,11,Advanced Engineering Mathematics 2,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.316667773406877
01034,2020-2021,2020,Winter,82,123,4.6,114,Advanced Engineering Mathematics 2,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.3167588386856695
01034,2020-2021,2021,Summer,18,22,4.7,22,Advanced Engineering Mathematics 2,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.317581757697484
01034,2021-2022,2021,Winter,126,155,6.1,145,Advanced Engineering Mathematics 2,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.317734778149182
01034,2022-2023,2022,Winter,100,156,5.7,125,Advanced Engineering Mathematics 2,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.318204147383348
01034,2022-2023,2023,Summer,2,6,0.5,6,Advanced Engineering Mathematics 2,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.31874202263443
01034,2023-2024,2023,Winter,135,169,6.3,162,Advanced Engineering Mathematics 2,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.318850815565669
01034,2023-2024,2024,Summer,14,17,3.7,15,Advanced Engineering Mathematics 2,Engelsk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.319289909975084
01035,2017-2018,2017,Winter,259,356,5.8,319,Advanced Engineering Mathematics 2,Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.31943434225192
01035,2017-2018,2018,Summer,167,237,5.0,214,Advanced Engineering Mathematics 2,Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.320724940222903
01035,2018-2019,2018,Winter,243,328,4.8,310,Advanced Engineering Mathematics 2,Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.322048072721832
01035,2018-2019,2019,Summer,124,197,4.5,173,Advanced Engineering Mathematics 2,Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.324132754547524
01035,2019-2020,2019,Winter,235,330,4.9,313,Advanced Engineering Mathematics 2,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.325436090325835
01035,2019-2020,2020,Summer,145,190,5.1,180,Advanced Engineering Mathematics 2,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.327462942395165
01035,2020-2021,2020,Winter,195,281,4.4,266,Advanced Engineering Mathematics 2,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.3285339181348865
01035,2020-2021,2021,Summer,118,180,4.0,169,Advanced Engineering Mathematics 2,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.330616188994547
01035,2021-2022,2021,Winter,289,350,6.7,332,Advanced Engineering Mathematics 2,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.332121453613828
01035,2021-2022,2022,Summer,117,162,5.4,145,Advanced Engineering Mathematics 2,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.332683181434922
01035,2022-2023,2022,Winter,168,237,4.6,224,Advanced Engineering Mathematics 2,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.3334335671825475
01035,2022-2023,2023,Summer,106,154,4.7,139,Advanced Engineering Mathematics 2,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.335074055021472
01035,2023-2024,2023,Winter,204,252,6.8,240,Advanced Engineering Mathematics 2,Dansk,5,"Bachelor, Diplomingeniør",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.336055771019318
01035,2023-2024,2024,Summer,83,103,5.5,98,Advanced Engineering Mathematics 2,Dansk,5,"Bachelor, Diplomingeniør",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.33640081854436
01036,2017-2018,2017,Winter,30,30,8.6,30,Mathematical Methods in Structural Engineering,Dansk,5,Kandidat,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Måske,Ja,Ja,7.336883616492142
01036,2018-2019,2018,Winter,22,22,7.5,22,Mathematical Methods in Structural Engineering,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Måske,Ja,Ja,7.336781951498258
01036,2019-2020,2019,Winter,26,26,8.3,26,Mathematical Methods in Structural Engineering,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Måske,Ja,Ja,7.336772317128453
01037,2017-2018,2017,Winter,2,6,2.2,4,Advanced Engineering Mathematics 2 (Summer University),Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.336705117781681
01037,2017-2018,2018,Summer,180,224,6.7,197,Advanced Engineering Mathematics 2 (Summer University),Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.336760250833818
01037,2018-2019,2018,Winter,5,13,0.8,13,Advanced Engineering Mathematics 2 (Summer University),Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.3370970253436285
01037,2018-2019,2019,Summer,235,347,5.1,318,Advanced Engineering Mathematics 2 (Summer University),Dansk,5,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.337325185855377
01037,2020-2021,2020,Winter,8,18,1.2,17,Advanced Engineering Mathematics 2 (Summer University),Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.339236972287968
01037,2020-2021,2021,Summer,219,292,5.2,270,Advanced Engineering Mathematics 2 (Summer University),Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.339517429299268
01037,2021-2022,2021,Winter,6,7,7.0,6,Advanced Engineering Mathematics 2 (Summer University),Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.3410708811333105
01037,2021-2022,2022,Summer,221,294,4.8,281,Advanced Engineering Mathematics 2 (Summer University),Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.341076384406854
01037,2022-2023,2022,Winter,9,22,2.2,20,Advanced Engineering Mathematics 2 (Summer University),Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.342998048846115
01037,2022-2023,2023,Summer,142,226,3.5,210,Advanced Engineering Mathematics 2 (Summer University),Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.343274885279421
01037,2023-2024,2023,Winter,13,19,4.2,17,Advanced Engineering Mathematics 2 (Summer University),Dansk,5,"Bachelor, Diplomingeniør",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.345448302791192
01125,2017-2018,2017,Winter,48,48,8.7,48,Fundamental topological concepts and metric spaces,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.345592306532218
01125,2018-2019,2018,Winter,48,51,8.0,48,Fundamental topological concepts and metric spaces,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.345417205343663
01125,2020-2021,2020,Winter,64,64,9.2,64,Fundamental topological concepts and metric spaces,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.345332568313064
01125,2021-2022,2021,Winter,44,44,10.8,44,Fundamental topological concepts and metric spaces,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.345012770497445
01125,2022-2023,2023,Summer,45,45,10.5,45,Fundamental topological concepts and metric spaces,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.3446031515073
01125,2023-2024,2024,Summer,34,34,10.1,34,Fundamental topological concepts and metric spaces,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.344220502911766
01227,2023-2024,2024,Summer,11,12,7.2,12,Graph Theory,Engelsk,5,"Bachelor, Diplomingeniør",Skriftlig eksamen,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Ja,7.3439679823201915
01236,2017-2018,2018,Summer,2,4,1.0,4,Differential Geometry of Curves and Surfaces,Engelsk,5,Kandidat,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Måske,Ja,Ja,7.343972638552354
01237,2017-2018,2017,Winter,100,109,7.1,109,Differential geometry and parametric design,Dansk,5,Bachelor,Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ja,Ja,Ja,7.344041031833079
01237,2018-2019,2018,Winter,79,92,7.1,86,Differential geometry and parametric design,Dansk,5,"Kandidat, Bachelor",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ja,Ja,Ja,7.344112746683909
01237,2020-2021,2020,Winter,104,110,8.7,110,Differential geometry and parametric design,Dansk,5,"Kandidat, Bachelor",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ja,Ja,Ja,7.344169358796647
01237,2021-2022,2021,Winter,100,108,8.8,107,Differential geometry and parametric design,Dansk,5,"Kandidat, Bachelor",Anden,Tilladt,intern bedømmelse,01 Institut for Matematik og Computer Science,Ja,Ja,Ja,7.343767061209944
